=== Sniffer Log - 2026-06-15 11:22:18 ===
Interface: wlp108s0 | Filtre: aucun
[2026-06-15 10:52:01.705] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.911] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.911] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.912] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.912] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.912] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.912] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.912] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.912] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.912] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.912] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.918] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.918] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.931] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.931] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.936] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.936] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.936] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.936] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:01.941] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:01.941] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.219] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.219] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.220] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.220] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.220] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.220] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.422] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.422] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.426] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.426] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.627] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.627] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.641] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.641] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.704] UDP   | 172.20.10.5    :59158 -> 172.20.10.1    :53   
[2026-06-15 10:52:02.704] UDP   | 172.20.10.5    :59158 -> 172.20.10.1    :53   
[2026-06-15 10:52:02.733] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.733] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.735] TCP   | 102.132.104.60 :443   -> 172.20.10.5    :43286
[2026-06-15 10:52:02.735] TCP   | 172.20.10.5    :43286 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.754] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.754] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.754] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.755] UDP   | 172.20.10.5    :56494 -> 102.132.104.60 :443  
[2026-06-15 10:52:02.755] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.755] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.755] UDP   | 102.132.104.60 :443   -> 172.20.10.5    :56494
[2026-06-15 10:52:02.755] UDP   | 172.20.10.1    :53    -> 172.20.10.5    :59158
